,axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
7,z,1,0.2633742392063141,0.21421516686677933,5329,5458,45.0,7,0.009627074,0.0003831938,0.015966408,19
8,z,1,0.2633742392063141,0.21421516686677933,5697,5768,75.0,8,0.009338952,0.00019843291,0.008268038,20
9,z,1,0.2633742392063141,0.21421516686677933,9017,9193,105.0,9,0.0074098404,0.00030969354,0.012903897,21
10,z,1,0.2633742392063141,0.21421516686677933,7277,7405,135.0,10,0.008252356,0.00027935352,0.01163973,22
11,z,1,0.2633742392063141,0.21421516686677933,11914,12018,165.0,11,0.0064640273,0.00013924633,0.0058019306,23
0,z,2,0.3070552200078964,0.2633742392063141,12614,12448,-165.0,0,0.00631648,0.00021223734,-0.008843223,24
1,z,2,0.3070552200078964,0.2633742392063141,7383,7265,-135.0,1,0.00826201,0.00025812682,-0.010755284,25
2,z,2,0.3070552200078964,0.2633742392063141,9435,9150,-105.0,2,0.0073337764,0.0004913735,-0.020473896,26
3,z,2,0.3070552200078964,0.2633742392063141,6248,5856,-75.0,3,0.0090809055,0.0010377353,-0.043238968,27
4,z,2,0.3070552200078964,0.2633742392063141,5381,5127,-45.0,4,0.009750203,0.00077453867,-0.032272443,28
5,z,2,0.3070552200078964,0.2633742392063141,2515,2450,-15.0,5,0.014189727,0.00041949187,-0.017478827,29
6,z,2,0.3070552200078964,0.2633742392063141,2501,2512,15.0,6,0.014123726,7.031119e-05,0.0029296328,30
7,z,2,0.3070552200078964,0.2633742392063141,5218,5267,45.0,7,0.009765789,0.00014974663,0.0062394426,31
8,z,2,0.3070552200078964,0.2633742392063141,5783,6141,75.0,8,0.009150395,0.0009620341,0.040084753,32
9,z,2,0.3070552200078964,0.2633742392063141,9067,9347,105.0,9,0.007367776,0.00048723596,0.020301498,33
10,z,2,0.3070552200078964,0.2633742392063141,7307,7300,135.0,10,0.008274074,1.5355588e-05,-0.00063981616,34
11,z,2,0.3070552200078964,0.2633742392063141,12247,12381,165.0,11,0.0063719735,0.00017434324,0.007264301,35
0,z,3,0.3488447368144989,0.3070552200078964,13024,12742,-165.0,0,0.006229169,0.0003506966,-0.014612358,36
1,z,3,0.3488447368144989,0.3070552200078964,7399,7062,-135.0,1,0.008311713,0.0007467256,-0.031113565,37
2,z,3,0.3488447368144989,0.3070552200078964,9517,9119,-105.0,2,0.007322292,0.00068432087,-0.028513368,38
3,z,3,0.3488447368144989,0.3070552200078964,6386,6017,-75.0,3,0.0089720925,0.00095329876,-0.03972078,39
4,z,3,0.3488447368144989,0.3070552200078964,5040,4734,-45.0,4,0.010106112,0.0010031792,-0.041799136,40
5,z,3,0.3488447368144989,0.3070552200078964,2155,2239,-15.0,5,0.015080943,0.00061256,0.025523333,41
6,z,3,0.3488447368144989,0.3070552200078964,2227,2189,15.0,6,0.015047238,0.00027572995,-0.011488748,42
7,z,3,0.3488447368144989,0.3070552200078964,4781,5061,45.0,7,0.010072675,0.00091159955,0.037983313,43
8,z,3,0.3488447368144989,0.3070552200078964,5919,6332,75.0,8,0.009025554,0.0010802094,0.045008723,44
9,z,3,0.3488447368144989,0.3070552200078964,9177,9727,105.0,9,0.0072676707,0.0009322629,0.038844287,45
10,z,3,0.3488447368144989,0.3070552200078964,7149,7397,135.0,10,0.008289258,0.00054630794,0.022762831,46
