,axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
89,z,0.3173189461231232,0.3753333985805512,2,683,691,-0.006530622599609376,0.04539181503858333,0.00018656607,-15.0,5,29
90,z,0.3173189461231232,0.3753333985805512,2,657,668,-0.029228553523828124,0.05094758508492642,0.00026601506,15.0,6,30
91,z,0.3173189461231232,0.3753333985805512,2,1394,1328,0.058776348102734376,0.03250920646566283,0.0007769360000000001,45.0,7,31
92,z,0.3173189461231232,0.3753333985805512,2,1767,1698,0.046763346066406246,0.02534230852599332,0.0006380802400000001,75.0,8,32
93,z,0.3173189461231232,0.3753333985805512,2,2337,2271,0.004050408738007812,0.022324901977304412,0.0004589453,105.0,9,33
94,z,0.3173189461231232,0.3753333985805512,2,1777,1778,0.015297127572265624,0.026159438845123693,9.0134245e-06,135.0,10,34
95,z,0.3173189461231232,0.3753333985805512,2,3024,2985,-0.014972908497070312,0.019948611544553862,0.00020796574,165.0,11,35
96,z,0.3753333985805512,0.444266676902771,3,3173,3235,0.013700543739765626,0.01995937531980384,0.00031002633999999997,-165.0,0,36
97,z,0.3753333985805512,0.444266676902771,3,1799,1860,-0.044359102615234375,0.024700597947843177,0.0005341912999999999,-135.0,1,37
98,z,0.3753333985805512,0.444266676902771,3,2136,2239,-0.059395639515625,0.023755375840875174,0.0007543773,-105.0,2,38
99,z,0.3753333985805512,0.444266676902771,3,1872,1895,-0.02584561808652344,0.026169765820669464,0.0001956418,-75.0,3,39
100,z,0.3753333985805512,0.444266676902771,3,1231,1319,-0.0206391879571875,0.0302195553427973,0.0011057880000000001,-45.0,4,40
101,z,0.3753333985805512,0.444266676902771,3,533,560,-0.035076153236718755,0.05330733949718211,0.00079154025,-15.0,5,41
102,z,0.3753333985805512,0.444266676902771,3,546,527,0.010969680949999998,0.05055199988630219,0.0005673921599999999,15.0,6,42
103,z,0.3753333985805512,0.444266676902771,3,1331,1271,0.06199432957167969,0.032524442135899424,0.00073887914,45.0,7,43
104,z,0.3753333985805512,0.444266676902771,3,1844,1818,0.02423261800386719,0.027347088849280984,0.0002275016,75.0,8,44
105,z,0.3753333985805512,0.444266676902771,3,2195,2140,0.027817311888398435,0.023476866914375064,0.00040653974,105.0,9,45
106,z,0.3753333985805512,0.444266676902771,3,1814,1822,0.0045775141975,0.025899533766645326,7.0501046e-05,135.0,10,46
107,z,0.3753333985805512,0.444266676902771,3,3203,3017,0.012042127182773438,0.020797454164364623,0.0009581907699999999,165.0,11,47
108,z,0.444266676902771,0.7958319783210754,4,3200,3154,0.00012520337089843772,0.020728260396498284,0.00023197437999999997,-165.0,0,48
109,z,0.444266676902771,0.7958319783210754,4,1910,1945,-0.04856136332304688,0.026885701394268987,0.00029091968,-135.0,1,49
110,z,0.444266676902771,0.7958319783210754,4,1852,1936,-0.008936539634453126,0.027150268986636333,0.0007105567,-105.0,2,50
111,z,0.444266676902771,0.7958319783210754,4,1908,2018,0.006884072363945311,0.02500885232149135,0.0008977839,-75.0,3,51
112,z,0.444266676902771,0.7958319783210754,4,1279,1267,-0.026844141871328123,0.031751865491116034,0.0001510262,-45.0,4,52
113,z,0.444266676902771,0.7958319783210754,4,606,609,0.014447820004296875,0.05114060197921165,7.911784e-05,-15.0,5,53
114,z,0.444266676902771,0.7958319783210754,4,595,572,-0.003941305486328125,0.04647237519884355,0.00063151895,15.0,6,54
115,z,0.444266676902771,0.7958319783210754,4,1318,1234,0.031273319769023436,0.02820376739315671,0.0010546978,45.0,7,55
116,z,0.444266676902771,0.7958319783210754,4,2019,1919,0.008117115863671875,0.02621446999954651,0.0008136800999999999,75.0,8,56
117,z,0.444266676902771,0.7958319783210754,4,1889,1803,0.018043506686054686,0.026658937477827074,0.0007463906,105.0,9,57
118,z,0.444266676902771,0.7958319783210754,4,1987,1961,0.008619952547539063,0.024486402111907724,0.00021102096,135.0,10,58
119,z,0.444266676902771,0.7958319783210754,4,3180,3015,-0.02809091128359375,0.019612230132787224,0.0008534381599999999,165.0,11,59
120,pt,0.00048771032015793025,0.2314211696386337,0,2379,2453,0.007175369460234376,0.023743978715200023,0.0004907205,-165.0,0,0
121,pt,0.00048771032015793025,0.2314211696386337,0,1654,1746,-0.00810301946015625,0.026200216683066612,0.0008670384,-135.0,1,1
122,pt,0.00048771032015793025,0.2314211696386337,0,1398,1395,-0.028169271281679686,0.028556222008220233,3.4417534999999996e-05,-105.0,2,2
123,pt,0.00048771032015793025,0.2314211696386337,0,1551,1513,0.006339611878125,0.029388705431505166,0.00039739668,-75.0,3,3
124,pt,0.00048771032015793025,0.2314211696386337,0,962,955,-0.032921727803124995,0.03231807534586055,0.00011700524,-45.0,4,4
125,pt,0.00048771032015793025,0.2314211696386337,0,675,643,0.02507403118203125,0.045670870566648876,0.0007779720500000001,-15.0,5,5
126,pt,0.00048771032015793025,0.2314211696386337,0,594,576,-0.08404209599960938,0.04420416621536869,0.000492965,15.0,6,6
127,pt,0.00048771032015793025,0.2314211696386337,0,991,1008,0.060436035806249996,0.03689833160336059,0.00027249939999999997,45.0,7,7
128,pt,0.00048771032015793025,0.2314211696386337,0,1503,1481,-0.0016053966943749996,0.029256194763734086,0.00023623992000000002,75.0,8,8
129,pt,0.00048771032015793025,0.2314211696386337,0,1446,1344,0.03847159249570313,0.028948862293511634,0.0011714542999999998,105.0,9,9
130,pt,0.00048771032015793025,0.2314211696386337,0,1681,1613,-0.01158032757796875,0.029268085684967825,0.0006614769999999999,135.0,10,10
131,pt,0.00048771032015793025,0.2314211696386337,0,2470,2395,-0.003014797733554688,0.02289910844750609,0.0004939782700000001,165.0,11,11
132,pt,0.2314211696386337,0.3282289385795593,1,2650,2479,-0.012513098084531249,0.022280447335888052,0.001068299,-165.0,0,12
133,pt,0.2314211696386337,0.3282289385795593,1,1435,1465,-0.0010800561104687503,0.028238287648771367,0.00033147644999999997,-135.0,1,13
134,pt,0.2314211696386337,0.3282289385795593,1,1579,1675,-0.05830349695949219,0.025991042197142298,0.0009453292599999999,-105.0,2,14
135,pt,0.2314211696386337,0.3282289385795593,1,1712,1792,-0.033030096689062496,0.026202916356560656,0.000731569,-75.0,3,15
136,pt,0.2314211696386337,0.3282289385795593,1,1042,949,-0.051856313382031255,0.031657046838938115,0.0014967219,-45.0,4,16
137,pt,0.2314211696386337,0.3282289385795593,1,220,233,-0.015572924615625,0.08260365132782727,0.0009195483000000001,-15.0,5,17
138,pt,0.2314211696386337,0.3282289385795593,1,237,238,0.12214005881875001,0.08617508117017342,6.7458364e-05,15.0,6,18
139,pt,0.2314211696386337,0.3282289385795593,1,1081,1017,0.009586384794609375,0.035375329148327285,0.0009774711,45.0,7,19
140,pt,0.2314211696386337,0.3282289385795593,1,1789,1687,0.028235273546210936,0.02747959841277958,0.0009402639999999999,75.0,8,20
141,pt,0.2314211696386337,0.3282289385795593,1,1642,1592,0.03091495060890625,0.02894416718633825,0.0004954039,105.0,9,21
142,pt,0.2314211696386337,0.3282289385795593,1,1504,1489,0.015872757848828127,0.0266796551306114,0.00016058833,135.0,10,22
143,pt,0.2314211696386337,0.3282289385795593,1,2605,2522,0.00782051411984375,0.024627043141919262,0.00051873334,165.0,11,23
144,pt,0.3282289385795593,0.418657124042511,2,2461,2455,0.011760157512695312,0.023762617649072722,3.910829e-05,-165.0,0,24
145,pt,0.3282289385795593,0.418657124042511,2,1412,1356,-0.06362509340820313,0.027462757216421118,0.0006482632,-135.0,1,25
146,pt,0.3282289385795593,0.418657124042511,2,1743,1843,-0.04156309403007812,0.0264718427848711,0.0008935506,-105.0,2,26
147,pt,0.3282289385795593,0.418657124042511,2,1458,1548,-0.048369318819140625,0.028114484128914406,0.00095936295,-75.0,3,27
148,pt,0.3282289385795593,0.418657124042511,2,1001,1172,-0.08761040312226563,0.03237499796166805,0.0025215398,-45.0,4,28
149,pt,0.3282289385795593,0.418657124042511,2,472,488,-0.008289834372265626,0.05613624327399195,0.00053404545,-15.0,5,29
150,pt,0.3282289385795593,0.418657124042511,2,494,496,-0.026597104000781246,0.059100653980281435,6.4732776e-05,15.0,6,30
151,pt,0.3282289385795593,0.418657124042511,2,1033,1028,0.0684237988490625,0.03300478301229834,7.7735865e-05,45.0,7,31
152,pt,0.3282289385795593,0.418657124042511,2,1548,1497,0.022539436333242187,0.031969951442273145,0.0005366762,75.0,8,32
153,pt,0.3282289385795593,0.418657124042511,2,1800,1818,0.009102082419296874,0.02748655169760042,0.00015941654,105.0,9,33
154,pt,0.3282289385795593,0.418657124042511,2,1403,1364,0.020648485189453124,0.02863352612497499,0.0004516321400000001,135.0,10,34
155,pt,0.3282289385795593,0.418657124042511,2,2508,2373,-0.0045108598940625,0.020645720331371034,0.0008862462,165.0,11,35
156,pt,0.418657124042511,0.5319416642189025,3,2359,2442,-0.024176642383710936,0.022924227059238442,0.0005539566599999999,-165.0,0,36
157,pt,0.418657124042511,0.5319416642189025,3,1325,1339,-0.0016405256767187497,0.027758486611493098,0.0001683927,-135.0,1,37
158,pt,0.418657124042511,0.5319416642189025,3,1769,1968,-0.03562962391304687,0.02554238508122531,0.0017063157000000002,-105.0,2,38
159,pt,0.418657124042511,0.5319416642189025,3,1342,1371,-0.01479558965703125,0.030517038081779496,0.00034251343,-75.0,3,39
160,pt,0.418657124042511,0.5319416642189025,3,1133,1200,-0.016429824109882814,0.03134713859339001,0.0009202153300000001,-45.0,4,40
161,pt,0.418657124042511,0.5319416642189025,3,592,616,-0.060055507062890624,0.04725959287753255,0.00063661044,-15.0,5,41
162,pt,0.418657124042511,0.5319416642189025,3,591,598,0.041886293653125004,0.053733798895515016,0.00018864512,15.0,6,42
163,pt,0.418657124042511,0.5319416642189025,3,1102,1093,0.07859167076757813,0.03326854122948634,0.00013138246000000002,45.0,7,43
164,pt,0.418657124042511,0.5319416642189025,3,1338,1252,0.06361612728398439,0.03340466951378465,0.0010639669,75.0,8,44
165,pt,0.418657124042511,0.5319416642189025,3,1877,1783,0.04954331349140625,0.0245817966860094,0.0008229552000000001,105.0,9,45
166,pt,0.418657124042511,0.5319416642189025,3,1409,1376,0.034033199047031254,0.03006507066351674,0.00037968036,135.0,10,46
167,pt,0.418657124042511,0.5319416642189025,3,2409,2369,-0.019152681888203123,0.021538321561700362,0.00026825220000000003,165.0,11,47
168,pt,0.5319416642189025,1.2094560861587524,4,2357,2362,-0.030012606633515626,0.024635529086879625,3.3950753e-05,-165.0,0,48
169,pt,0.5319416642189025,1.2094560861587524,4,1345,1376,-0.010024908365507814,0.030940138642601735,0.00036505857,-135.0,1,49
170,pt,0.5319416642189025,1.2094560861587524,4,1816,1927,-0.026372573247578128,0.026446544998539625,0.0009502384,-105.0,2,50
171,pt,0.5319416642189025,1.2094560861587524,4,1116,1194,-0.025446005404882815,0.03186401506047383,0.0010819621000000001,-75.0,3,51
172,pt,0.5319416642189025,1.2094560861587524,4,1188,1196,-0.056763782132812496,0.031256284812771436,0.00010752591000000001,-45.0,4,52
173,pt,0.5319416642189025,1.2094560861587524,4,643,709,-0.021799027775390625,0.046696617403585716,0.0015642159,-15.0,5,53
174,pt,0.5319416642189025,1.2094560861587524,4,696,683,0.015570359356249999,0.04732473872268516,0.00030207064,15.0,6,54
175,pt,0.5319416642189025,1.2094560861587524,4,1250,1086,-0.003748550426445313,0.034743769676519876,0.0022495748,45.0,7,55
176,pt,0.5319416642189025,1.2094560861587524,4,1154,1126,0.027059027690703126,0.03442833869432403,0.0003935071,75.0,8,56
177,pt,0.5319416642189025,1.2094560861587524,4,1936,1814,-0.01753053720925781,0.02448866862628318,0.0010424566,105.0,9,57
178,pt,0.5319416642189025,1.2094560861587524,4,1386,1403,-0.0032705778343359382,0.029289941803432282,0.0001953124,135.0,10,58
179,pt,0.5319416642189025,1.2094560861587524,4,2353,2259,-0.01760551288546875,0.023501886953895847,0.0006530824,165.0,11,59
180,q2,1.0000007152557373,1.286751890182495,0,2452,2429,0.0116651755521875,0.02242573571296485,0.00015099008999999998,-165.0,0,0
181,q2,1.0000007152557373,1.286751890182495,0,1319,1242,-0.018317998339687502,0.030229726036000902,0.00096340873,-135.0,1,1
182,q2,1.0000007152557373,1.286751890182495,0,1812,1906,-0.05465897312839844,0.02479136697488511,0.0008101172,-105.0,2,2
183,q2,1.0000007152557373,1.286751890182495,0,1406,1394,-0.0074383039974999995,0.03296277914116962,0.00013732596,-75.0,3,3
